"","Taxon","Maximum.vertical.height..meter.","Habit..growth.from.","Extra.floral.nectaries","Leaf.shape","Whole.leaf.length..cm.","Whole.leaf.width..cm.","Rachis.length..mm.","Petiole.length..mm.","Stipules.length..mm.","Stipules.width..mm.","Stipules.phenology","Pairs.of.pinnae","Length.of.pinnae..mm.","Pinnular.rachis.length..cm.","Pair.of.leaflets","Length.of..leaflets..mm.","Width.of..leaflets..mm.","Length.of.basal.primary.leaflets..mm.","Length.of.basal.primary.leaflets..mm..1","Length.of.middle.leaflet..mm.","Width.of.middle.leaflet..mm.","Length.of.largest.leaflet..mm.","Width.of.largest.leaflet..mm.","Length.of.other.primary.leaflets..mm.","Phyllodes","Width.of.other.primary.leaflets..mm.","Phyllode.length..mm.","Phyllode.width..mm.","Fruit.length..cm.","Fruit.width..mm.","Fruit.color","Pod.shape","Pod.margin","Texture.of.pod.valves","Pod.cross.section","Pod.coil","Number.of.coils","Pod.ornamentation","Number.of.pods.per.capitulum","Dehiscence","Type.of.dehiscence","Dispersal.syndrome","Seed.length..cm.","Seed.width..cm.","Seed.accessories","Seed.color","Number.of.seeds.per.fruit","Presence.of.aril","Aril..color.","Presence.of.pulp","Color.pulp","Succulence","Length.of.extrafloral.nectaries..mm.","Width.of.extrafloral.nectaries..mm.","Diameter.of.extra.floral.nectaries..mm.","Presence.of.succulence","Nodulation","Presence.of.tendrils","Habitat.description","Fruit.type","Fruit.shape","Number.of.primary.leaflets","Stipe.length..mm.","Color.contrast","Number.of.fruits.per.inflorescence","Color.of.elaiosome","Presence.of.elaiosome","Seed.diameter..cm.","Fruit.thickness..mm.","Fruit.diameter.mm.","leaf.length.min","leaf.length.max","leaf.length.mean","rachis.length.min","rachis.length.max","rachis.length.mean","pinnae.pair.min","Vertical.height.mean","pinnae.pair.mean","pinnae.length.min","pinnae.length.max","pinnae.length.mean","leaflet.pair.min","leaflet.pair.max","leaflet.pair.mean","leaflet.length.min","leaflet.length.max","leaflet.length.mean","leaflet.width.min","leaflet.width.max","leaflet.width.mean","fruit.length.min","fruit.length.max","fruit.length.mean","fruit.width.min","fruit.width.max","fruit.width.mean","seed.length.min","seed.length.max","seed.length.mean","vertical.height.min","vertical.height.max","vertival.height.mean","Armatures"
"2138","Viguieranthus kony","18.0",0,NA,5,"","","","4.00-12.00","","",2,"1.0","10.00-35.00","","11.0-19.0","17.00","6.00","","","","","","","",NA,"","","","14.0","9.00",NA,6,2,NA,1,1,"",3,"",1,1,NA,"0.6","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,10,35,22.5,11,19,15,17,17,17,6,6,6,14,14,14,9,9,9,0.6,0.6,0.6,18,18,18,0
"2139","Viguieranthus megalophyllus","7.0",1,0,5,"","","","10.00-25.00","","",NA,"1.0","","","8.0-11.0","35.00","15.00","","","","","","","",NA,"","","","10.5-13.0","5.00-8.00",NA,6,2,NA,NA,1,"",2,"",1,2,NA,"0.8","0.45","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,8,11,9.5,35,35,35,15,15,15,10.5,13,11.75,5,8,6.5,0.8,0.8,0.8,7,7,7,0
"2140","Viguieranthus subauriculatus","10.0",1,0,5,"","","","8.00-16.00","","",NA,"1.0","","","15.0-27.0","11.00","2.50","","","","","","","",NA,"","","","11.0-19.0","5.00-10.00",NA,6,0,0,1,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,15,27,21,11,11,11,2.5,2.5,2.5,11,19,15,5,10,7.5,NA,NA,NA,10,10,10,0
"2141","Wallaceodendron celebicum","25.0-45.0",0,0,5,"","","","","","",NA,"3.0-7.0","","","4.0-7.0","40.00-50.00","15.00-30.00","","","","","","","",NA,"","","","7.0-18.0","20.00-45.00",NA,0,0,3,1,1,"",NA,"",1,7,NA,"","","",NA,"10.0-12.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,3,7,5,NA,NA,NA,4,7,5.5,40,50,45,15,30,22.5,7,18,12.5,20,45,32.5,NA,NA,NA,25,45,35,0
"2142","Xerocladia viridiramis","1.0",1,0,5,"","","","3.00","","",NA,"1.0","","","6.0-12.0","3.00","1.00","","","","","","","",NA,"","","","4.6-6.6","11.00-18.00",3,5,0,5,1,1,"",0,"",0,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,6,12,9,3,3,3,1,1,1,4.6,6.6,5.6,11,18,14.5,NA,NA,NA,1,1,1,1
"2143","Xylia evansii","24.0",0,0,5,"","","100.00-240.00","15.00-40.00","","",NA,"1.0","","","13.0-16.0","30.00-70.00","10.00-20.00","","","","","","","",NA,"","","","20.0","5.00",3,0,0,3,NA,1,"",NA,"",1,8,6,"2.0","1.30-1.50","",NA,"4.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,100,240,170,1,1,1,NA,NA,NA,13,16,14.5,30,70,50,10,20,15,20,20,20,5,5,5,2,2,2,24,24,24,0
"2144","Xylia hoffmannii","25.0",0,0,5,"","","","20.00-70.00","","",NA,"1.0","","","5.0-9.0","115.00","32.00","","","","","","","",NA,"","","","18.5","50.00",NA,1,2,3,NA,NA,"",2,"",1,2,NA,"1.0-1.5","0.65-1.00","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",0,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,5,9,7,115,115,115,32,32,32,18.5,18.5,18.5,50,50,50,1,1.5,1.25,25,25,25,0
"2145","Xylia torreana","15.0",0,NA,5,"","","","20.00-70.00","","",NA,"1.0","","","4.0-6.0","35.00-75.00","20.00-42.00","","","","","","","",NA,"","","","9.0-14.0","32.00-80.00",3,5,0,3,2,1,"",2,"1.0",1,NA,NA,"","","",NA,"7.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,4,6,5,35,75,55,20,42,31,9,14,11.5,32,80,56,NA,NA,NA,15,15,15,0
"2146","Zapoteca aculeata","10.0",0,NA,5,"","","30.00-50.00","4.00-25.00","","",NA,"1.0-2.0","","","3.0-7.0","15.00-63.00","4.00-23.00","","","","","","","",NA,"","","","10.0-12.5","9.00-11.00",NA,6,2,2,1,1,"",3,"",1,1,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,30,50,40,1,2,1.5,NA,NA,NA,3,7,5,15,63,39,4,23,13.5,10,12.5,11.25,9,11,10,NA,NA,NA,10,10,10,1
"2147","Zapoteca alinae","4.0",1,NA,5,"","","3.00-10.00","9.00-37.00","2.00-3.00","",NA,"1.0-3.0","","","16.0-19.0","4.00-12.00","1.00-2.50","","","","","","","",NA,"","","","10.0","8.00",NA,6,0,NA,1,1,"",3,"",1,18,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,10,6.5,1,3,2,NA,NA,NA,16,19,17.5,4,12,8,1,2.5,1.75,10,10,10,8,8,8,NA,NA,NA,4,4,4,0
"2148","Zapoteca amazonica","3.0-8.0",1,NA,5,"","","","20.00-42.00","7.00-22.00","3.00-8.00",NA,"1.0","","","1.0","70.00-220.00","28.00-92.00","","","","","","","",NA,"","","","24.0","10.00",NA,6,0,2,1,1,"",3,"",1,18,8,"1.4","0.50","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,70,220,145,28,92,60,24,24,24,10,10,10,1.4,1.4,1.4,3,8,5.5,0
"2149","Zapoteca caracasana","",1,NA,5,"","","4.00-75.00","9.00-50.00","","",NA,"1.0-7.0","","","10.0-37.0","4.00-11.00","1.00-3.00","","","","","","","",NA,"","","","10.0-11.0","7.00-8.00",NA,26,0,NA,1,1,"",2,"",1,1,5,"0.4-0.6","0.30-0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,4,75,39.5,1,7,4,NA,NA,NA,10,37,23.5,4,11,7.5,1,3,2,10,11,10.5,7,8,7.5,0.4,0.6,0.5,NA,NA,NA,0
"2150","Zapoteca caracasana subsp. Caracasana","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","10.0-11.0","7.00-8.00",NA,6,0,NA,1,1,"",3,"",1,1,5,"0.5-0.6","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,11,10.5,7,8,7.5,0.5,0.6,0.55,NA,NA,NA,0
"2151","Zapoteca caracasana subsp. Weberbaueri","",NA,NA,NA,"","","","","","",NA,"","","","","","","","","","","","","",NA,"","","","10.0","7.00",NA,6,0,NA,1,1,"",2,"",1,1,5,"0.4-0.5","0.30-0.35","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,7,7,7,0.4,0.5,0.45,NA,NA,NA,0
"2152","Zapoteca costaricensis","",1,NA,5,"","","20.00-25.00","43.00-70.00","13.00-8.00","",NA,"2.0-3.0","","","10.0-13.0","20.00-27.00","5.00-7.00","","","","","","","",NA,"","","","15.0","",NA,6,0,NA,1,1,"",3,"",1,18,8,"0.7","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,20,25,22.5,2,3,2.5,NA,NA,NA,10,13,11.5,20,27,23.5,5,7,6,15,15,15,NA,NA,NA,0.7,0.7,0.7,NA,NA,NA,0
"2153","Zapoteca filipes","2.0",1,NA,5,"","","25.00-75.00","20.00-35.00","","",NA,"4.0-5.0","","","9.0-16.0","8.00-14.00","2.50-5.00","","","","","","","",NA,"","","","7.5","7.00",NA,6,0,NA,1,1,"",3,"",1,18,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,25,75,50,4,5,4.5,NA,NA,NA,9,16,12.5,8,14,11,2.5,5,3.75,7.5,7.5,7.5,7,7,7,NA,NA,NA,2,2,2,0
"2154","Zapoteca formosa","5.0",1,NA,5,"","","3.00-68.00","0.30-7.80","","",NA,"1.0-4.0","","","2.0-17.0","4.00-59.00","2.00-36.00","","","","","","","",NA,"","","","13.0-15.0","",NA,6,0,NA,1,1,"",NA,"",1,1,5,"0.4-0.8","0.30-0.60","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,68,35.5,1,4,2.5,NA,NA,NA,2,17,9.5,4,59,31.5,2,36,19,13,15,14,NA,NA,NA,0.4,0.8,0.6,5,5,5,0
"2155","Zapoteca formosa subsp. Mollicula","2.0-2.5",1,NA,5,"","","4.00-8.00","3.00-11.00","","",NA,"1.0-2.0","","","2.0-6.0","4.00-14.00","2.00-9.00","","","","","","","",NA,"","","","7.5","0.80",NA,6,0,NA,1,1,"",3,"",1,1,5,"0.5","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,4,8,6,1,2,1.5,NA,NA,NA,2,6,4,4,14,9,2,9,5.5,7.5,7.5,7.5,0.8,0.8,0.8,0.5,0.5,0.5,2,2.5,2.25,0
"2156","Zapoteca formosa subsp. Rosei","3.0-4.0",1,NA,5,"","","3.00-34.00","10.00-50.00","9.00","",NA,"1.0-3.0","","","3.0-17.0","8.00-31.00","3.00-21.00","","","","","","","",NA,"","","","9.0","9.00",NA,6,0,NA,1,1,"",3,"",1,1,5,"0.4-0.5","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,3,34,18.5,1,3,2,NA,NA,NA,3,17,10,8,31,19.5,3,21,12,9,9,9,9,9,9,0.4,0.5,0.45,3,4,3.5,0
"2157","Zapoteca formosa subsp. Salvadorensis","4.0",1,NA,5,"","","9.00-40.00","18.00-45.00","12.00","",NA,"2.0-3.0","","","4.0-6.0","16.00-26.00","7.00-19.00","","","","","","","",NA,"","","","9.0","8.00",NA,6,0,NA,1,1,"",2,"",1,1,5,"0.5","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,9,40,24.5,2,3,2.5,NA,NA,NA,4,6,5,16,26,21,7,19,13,9,9,9,8,8,8,0.5,0.5,0.5,4,4,4,0
"2158","Zapoteca formosa subsp. schottii","1.5-2.0",1,NA,5,"","","4.00-17.00","12.00-35.00","","",NA,"1.0-2.0","","","3.0-7.0","4.00-14.00","2.00-7.00","","","","","","","",NA,"","","","7.0","6.00",NA,6,0,NA,1,1,"",3,"",1,1,5,"0.5-0.8","0.35-0.50","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,4,17,10.5,1,2,1.5,NA,NA,NA,3,7,5,4,14,9,2,7,4.5,7,7,7,6,6,6,0.5,0.8,0.65,1.5,2,1.75,0
"2159","Zapoteca formosa subsp. socorrensis","4.0",1,0,5,"","","9.00-40.00","18.00-45.00","","",NA,"2.0-3.0","","","4.0-6.0","16.00-26.00","7.00-19.00","","","","","","","",NA,"","","","9.0","8.00",NA,6,0,2,1,1,"",2,"",1,1,NA,"0.5","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,9,40,24.5,2,3,2.5,NA,NA,NA,4,6,5,16,26,21,7,19,13,9,9,9,8,8,8,0.5,0.5,0.5,4,4,4,NA
"2160","Zapoteca gracilis","2.0-5.0",1,NA,5,"","","7.00-50.00","13.00-55.00","5.00","",NA,"2.0-4.0","","","5.0-15.0","9.00-22.00","3.50-11.00","","","","","","","",NA,"","","","11.0","12.00",NA,6,0,NA,1,1,"",3,"",1,18,8,"0.5-0.6","0.30-0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,7,50,28.5,2,4,3,NA,NA,NA,5,15,10,9,22,15.5,3.5,11,7.25,11,11,11,12,12,12,0.5,0.6,0.55,2,5,3.5,0
"2161","Zapoteca lambertiana","4.0",1,0,5,"","","2.00-18.00","12.00-46.00","","",NA,"1.0-4.0","","","6.0-22.0","8.00-16.00","2.50-5.00","","","","","","","",NA,"","","","9.0","1.00",NA,6,0,NA,1,1,"",3,"",1,18,8,"0.4","0.30-0.35","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,2,18,10,1,4,2.5,NA,NA,NA,6,22,14,8,16,12,2.5,5,3.75,9,9,9,1,1,1,0.4,0.4,0.4,4,4,4,0
"2162","Zapoteca media","0.2-3.0",1,NA,5,"","","1.00-12.00","7.00-40.00","","",NA,"1.0-3.0","","","5.0-22.0","4.00-13.00","1.00-5.50","","","","","","","",NA,"","","","10.0","6.00",NA,6,0,NA,1,1,"",NA,"",1,18,8,"0.4","0.30","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,1,12,6.5,1,3,2,NA,NA,NA,5,22,13.5,4,13,8.5,1,5.5,3.25,10,10,10,6,6,6,0.4,0.4,0.4,0.2,3,1.6,0
"2163","Zapoteca mollis","3.0",1,NA,5,"","","35.00-95.00","12.00-45.00","","",NA,"3.0-6.0","","","15.0-26.0","7.00-18.00","2.00-5.00","","","","","","","",NA,"","","","9.0","7.00",NA,6,0,NA,1,1,"",2,"",1,18,8,"0.4","0.30","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,35,95,65,3,6,4.5,NA,NA,NA,15,26,20.5,7,18,12.5,2,5,3.5,9,9,9,7,7,7,0.4,0.4,0.4,3,3,3,0
"2164","Zapoteca nervosa","3.0",1,0,5,"","","","5.00-13.00","","",NA,"1.0","","","3.0-4.0","27.00-68.00","9.00-38.00","","","","","","","",NA,"","","","8.5-13.5","",NA,6,0,NA,1,1,"",3,"",1,18,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,4,3.5,27,68,47.5,9,38,23.5,8.5,13.5,11,NA,NA,NA,NA,NA,NA,3,3,3,0
"2165","Zapoteca portoricensis","3.0-7.0",1,NA,5,"","","9.00-100.00","10.00-50.00","11.00-17.00","",NA,"1.0-8.0","","","8.0-67.0","4.00-20.00","1.00-6.00","","","","","","","",NA,"","","","16.5","",NA,6,2,NA,1,1,"",3,"",1,1,5,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,9,100,54.5,1,8,4.5,NA,NA,NA,8,67,37.5,4,20,12,1,6,3.5,16.5,16.5,16.5,NA,NA,NA,NA,NA,NA,3,7,5,0
"2166","Zapoteca ravenii","4.0",1,1,5,"","","","","12.00","3.00",2,"3.0-5.0","","","17.0-30.0","10.00-17.00","2.00-3.00","","","","","","","",NA,"","","","15.5","0.80",NA,6,2,NA,1,1,"",3,"",1,18,8,"0.7","0.40","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,3,5,4,NA,NA,NA,17,30,23.5,10,17,13.5,2,3,2.5,15.5,15.5,15.5,0.8,0.8,0.8,0.7,0.7,0.7,4,4,4,0
"2167","Zapoteca scutellifera","",1,NA,5,"","","10.00-50.00","35.00-80.00","","",NA,"2.0-3.0","","","6.0-11.0","15.00-20.00","5.00-7.00","","","","","","","",NA,"","","","0.9","0.70",NA,6,0,NA,1,1,"",2,"",1,18,8,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,10,50,30,2,3,2.5,NA,NA,NA,6,11,8.5,15,20,17.5,5,7,6,0.9,0.9,0.9,0.7,0.7,0.7,NA,NA,NA,NA,NA,NA,0
"2168","Zapoteca sousae","3.0",1,NA,5,"","","50.00-100.00","15.00-67.00","26.00","17.00",0,"5.0-11.0","","","18.0-33.0","5.50-13.00","1.00-2.50","","","","","","","",NA,"","","","12.0","8.00",NA,6,0,NA,1,1,"",3,"",1,1,8,"0.6","0.40-0.50","",3,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,50,100,75,5,11,8,NA,NA,NA,18,33,25.5,5.5,13,9.25,1,2.5,1.75,12,12,12,8,8,8,0.6,0.6,0.6,3,3,3,0
"2169","Zapoteca tehuana","1.0-1.8",1,NA,5,"","","7.00-70.00","5.00-30.00","","",NA,"1.0-3.0","","","10.0-21.0","9.00-15.00","2.00-4.00","","","","","","","",NA,"","","","12.0","",NA,6,0,NA,1,1,"",NA,"",1,18,8,"0.5-0.6","0.40","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,7,70,38.5,1,3,2,NA,NA,NA,10,21,15.5,9,15,12,2,4,3,12,12,12,NA,NA,NA,0.5,0.6,0.55,1,1.8,1.4,0
"2170","Zapoteca tetragona","5.0-12.0",1,NA,5,"","","15.00-115.00","17.00-60.00","5.00-25.00","",NA,"3.0-7.0","","","10.0-35.0","5.00-18.00","1.00-4.00","","","","","","","",NA,"","","","16.5","14.00",NA,6,0,NA,1,1,"",3,"",1,18,8,"0.5-0.6","0.30-0.50","",0,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,15,115,65,3,7,5,NA,NA,NA,10,35,22.5,5,18,11.5,1,4,2.5,16.5,16.5,16.5,14,14,14,0.5,0.6,0.55,5,12,8.5,0
"2171","Zygia basijuga","5.0-20.0",0,0,5,"","","","","0.50-1.30","0.30-0.75",1,"4.0-9.0","","","14.0-22.0","11.00-17.00","3.00-5.00","","","","","","","",NA,"","","","12.0-26.0","11.00-15.00",3,6,0,2,1,1,"",NA,"1.0-2.0",1,NA,NA,"0.1-1.2","0.60-0.70","",NA,"10.0-16.0",NA,NA,"","",NA,"","","0.70-1.50","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,4,9,6.5,NA,NA,NA,14,22,18,11,17,14,3,5,4,12,26,19,11,15,13,0.1,1.2,0.65,5,20,12.5,0
"2172","Zygia biflora","10.0-12.0",0,0,2,"","","","","1.00-1.50","",1,"1.0","","","1.0","70.00-125.00","25.00-50.00","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,70,125,97.5,25,50,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,11,0
"2173","Zygia bisingula","5.0-8.0",0,0,2,"","","","","","",NA,"1.0","","","1.0","170.00-220.00","65.00-100.00","","","","","","","",NA,"","","","30.0","23.00-25.00",3,1,0,2,1,1,"",3,"",1,NA,NA,"","","",NA,"12.0-15.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,170,220,195,65,100,82.5,30,30,30,23,25,24,NA,NA,NA,5,8,6.5,0
"2174","Zygia brenesii","3.0-15.0",1,0,2,"","","55.00-180.00","","","",NA,"1.0","","","5.0-9.0","70.00-190.00","26.00-70.00","","","","","","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,55,180,117.5,1,1,1,NA,NA,NA,5,9,7,70,190,130,26,70,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15,9,0
"2175","Zygia cataractae","1.5-25.0",1,0,2,"","","","","0.50-2.30","",0,"1.0","","","2.0","60.00-200.00","26.00-80.00","","","","","","","",NA,"","","","8.0-28.0","1.40-2.60",3,1,0,2,NA,NA,"",NA,"1.0-3.0",1,7,NA,"1.5-2.0","1.30-1.60","",NA,"8.0-14.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,2,2,60,200,130,26,80,53,8,28,18,1.4,2.6,2,1.5,2,1.75,1.5,25,13.25,0
"2176","Zygia claviflora","1.5-10.0",0,0,5,"","","","","2.00-9.00","0.30-2.00",1,"4.0-6.0","","","10.0-18.0","11.00-18.00","2.80-5.00","","","","","11.00-18.00","3.00-5.00","",NA,"","","","14.0","14.00",NA,NA,NA,NA,NA,NA,"",2,"",NA,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","0.90-1.60","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,4,6,5,NA,NA,NA,10,18,14,11,18,14.5,2.8,5,3.9,14,14,14,14,14,14,NA,NA,NA,1.5,10,5.75,0
"2177","Zygia coccinea","5.0-11.0",0,0,2,"","","","4.00-27.00","","",NA,"1.0","","4.50-22.00","6.0-18.0","1.00-4.00","110.00-270.00","30.00-110.00","","","","","","",NA,"","","","15.0-24.0","21.00-40.00",3,NA,0,3,1,1,"",3,"",1,NA,NA,"","","",NA,"",NA,NA,"","",NA,"","","0.80-2.50","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,6,18,12,1,4,2.5,110,270,190,15,24,19.5,21,40,30.5,NA,NA,NA,5,11,8,0
"2178","Zygia collina","6.0-35.0",0,0,5,"","","","","1.50-3.00","",NA,"5.0-7.0","","","12.0-18.0","18.00-30.00","5.00-11.50","","","","","","","",NA,"","","","7.0-10.0","8.00-10.00",3,2,NA,2,NA,NA,"",NA,"",1,3,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,5,7,6,NA,NA,NA,12,18,15,18,30,24,5,11.5,8.25,7,10,8.5,8,10,9,NA,NA,NA,6,35,20.5,0
"2179","Zygia confusa","12.0",0,0,2,"","","5.00-10.00","","","",1,"","","","1.0","70.00-210.00","30.00-90.00","","","","","","","",NA,"","","","","",2,2,NA,NA,NA,NA,"",NA,"",1,3,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,5,10,7.5,NA,NA,NA,NA,NA,NA,1,1,1,70,210,140,30,90,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,12,0
"2180","Zygia conzattii","10.0-15.0",1,0,2,"","","","","0.60-2.00","",2,"1.0","","","1.0-3.0","40.00-110.00","16.00-55.00","","","","","","","",NA,"","","","7.0-15.0","10.00-14.00",NA,16,3,2,2,0,"1.0",NA,"",NA,NA,NA,"","","",NA,"7.0-13.0",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","1.10-1.50","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,1,3,2,40,110,75,16,55,35.5,7,15,11,10,14,12,NA,NA,NA,10,15,12.5,0
"2181","Zygia cupirensis","",0,0,2,"","","","3.00-6.00","","",NA,"1.0","","","3.0-4.0","45.00-90.00","20.00-40.00","","","","","","","",NA,"","","","7.0","20.00-27.00",3,2,0,2,NA,NA,"",2,"",1,2,NA,"","","",NA,"",NA,NA,"","",NA,"","","","#Name?",NA,"#Name?",NA,"","","","","","","#Name?","#Name?","","","",NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,3,4,3.5,45,90,67.5,20,40,30,7,7,7,20,27,23.5,NA,NA,NA,NA,NA,NA,0
